Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Norte,Coca Cola,2020,11,9378,18059593.91,13690459.8
Sucursal Norte,Fanta,2020,11,1942,3304799.78,2493504.94
Sucursal Norte,Sprite,2020,11,8019,13806465.44,10122808.18
Sucursal Norte,7 Up,2020,11,1010,1495423.47,1017012.69
Sucursal Norte,Pepsi,2020,11,7693,13324231.59,8234498.67
Sucursal Centro,Coca Cola,2020,11,9559,17554492.99,12526701.15
Sucursal Centro,Fanta,2020,11,2186,3638054.31,2733277.12
Sucursal Centro,Sprite,2020,11,8175,16902378.2,12763729.65
Sucursal Centro,7 Up,2020,11,1040,1647798.73,1023462.93
Sucursal Centro,Pepsi,2020,11,7710,12117228.04,7608601.75
Sucursal Sur,Coca Cola,2020,11,10659,23330456.77,18120351.55
Sucursal Sur,Fanta,2020,11,2037,3633051.25,2648265.96
Sucursal Sur,Sprite,2020,11,7646,15517429.83,10559887.58
Sucursal Sur,7 Up,2020,11,958,1429532.86,1098731.9
Sucursal Sur,Pepsi,2020,11,8494,14829460.37,11527259.03
Sucursal Norte,Coca Cola,2020,12,10270,20306129.07,12203097.46
Sucursal Norte,Fanta,2020,12,1882,3080009.61,1994768.98
Sucursal Norte,Sprite,2020,12,7713,13335218.75,9225165.41
Sucursal Norte,7 Up,2020,12,1038,1451004.18,1064772.94
Sucursal Norte,Pepsi,2020,12,8538,15585280.53,12268283.74
Sucursal Centro,Coca Cola,2020,12,9940,19370280.32,14197946.7
Sucursal Centro,Fanta,2020,12,2083,3573136.72,2811092.13
Sucursal Centro,Sprite,2020,12,8013,15994296.65,11345703.31
Sucursal Centro,7 Up,2020,12,1032,1627642.45,1158637.02
Sucursal Centro,Pepsi,2020,12,7751,13029878.35,9503537.11
Sucursal Sur,Coca Cola,2020,12,9213,20036696.63,15969869.87
Sucursal Sur,Fanta,2020,12,1869,3463644.35,2634743.65
Sucursal Sur,Sprite,2020,12,8300,15103551.82,9256008.05
Sucursal Sur,7 Up,2020,12,991,1382398.42,1002254.17
Sucursal Sur,Pepsi,2020,12,8755,15901992.19,12233627.34
Sucursal Norte,Coca Cola,2021,1,11350,31883554.66,20971811.28
Sucursal Norte,Fanta,2021,1,1567,2160255.97,1363858.34
Sucursal Norte,Sprite,2021,1,7355,15228701.74,10328149.12
Sucursal Norte,7 Up,2021,1,1433,2195267.98,1729741.96
Sucursal Norte,Pepsi,2021,1,8014,17283885.15,11618349.76
Sucursal Centro,Coca Cola,2021,1,11891,31729955.22,22896225.36
Sucursal Centro,Fanta,2021,1,1554,2433129.91,1757855.52
Sucursal Centro,Sprite,2021,1,7749,16534540.62,9994982.41
Sucursal Centro,7 Up,2021,1,1569,2170220.73,1362635.75
Sucursal Centro,Pepsi,2021,1,7743,15302328.53,11551303.19
Sucursal Sur,Coca Cola,2021,1,11383,30146890.13,19311926.15
Sucursal Sur,Fanta,2021,1,1618,2463764.53,1734452.09
Sucursal Sur,Sprite,2021,1,6717,13752622.68,10048729.79
Sucursal Sur,7 Up,2021,1,1569,2580535.82,1750901.53
Sucursal Sur,Pepsi,2021,1,8474,15703912.53,10731229.42
Sucursal Norte,Coca Cola,2021,2,10205,25032099.9,18204182.73
Sucursal Norte,Fanta,2021,2,1692,2438986.53,1757769.78
Sucursal Norte,Sprite,2021,2,6856,13748346.29,9711342.46
Sucursal Norte,7 Up,2021,2,1635,2614647.3,1756476.07
Sucursal Norte,Pepsi,2021,2,7333,14618606.44,9026424.96
Sucursal Centro,Coca Cola,2021,2,11600,32937973.67,20958614.6
Sucursal Centro,Fanta,2021,2,1646,2380497.61,1816941.34
Sucursal Centro,Sprite,2021,2,6563,13758024.58,10630294.69
Sucursal Centro,7 Up,2021,2,1427,2044158.26,1561194.85
Sucursal Centro,Pepsi,2021,2,8358,16118144.57,12087642.46
Sucursal Sur,Coca Cola,2021,2,11647,33007175.71,22226001.15
Sucursal Sur,Fanta,2021,2,1575,2082191.63,1388647.45
Sucursal Sur,Sprite,2021,2,6669,13761128.02,8429823.42
Sucursal Sur,7 Up,2021,2,1449,2310165.09,1409910.06
Sucursal Sur,Pepsi,2021,2,8434,16418247.87,11911332.02
Sucursal Norte,Coca Cola,2021,3,10967,27206396.85,20654790.14
Sucursal Norte,Fanta,2021,3,1675,2232688.78,1516521.92
Sucursal Norte,Sprite,2021,3,7021,14856413.31,10908314.27
Sucursal Norte,7 Up,2021,3,1453,2134152.96,1484711.46
Sucursal Norte,Pepsi,2021,3,7850,16845347.59,11472970.81
Sucursal Centro,Coca Cola,2021,3,11199,28037779.23,22169904.64
Sucursal Centro,Fanta,2021,3,1530,2247562.66,1587489.5
Sucursal Centro,Sprite,2021,3,7885,15286370.35,10654456.23
Sucursal Centro,7 Up,2021,3,1557,2163096.85,1664059.33
Sucursal Centro,Pepsi,2021,3,7379,14023209.55,10411484.95
Sucursal Sur,Coca Cola,2021,3,11551,31317964.81,24402419.22
Sucursal Sur,Fanta,2021,3,1503,2276575.08,1787695.72
Sucursal Sur,Sprite,2021,3,6975,13240713.66,8671191.72
Sucursal Sur,7 Up,2021,3,1469,2263541.76,1484359.04
Sucursal Sur,Pepsi,2021,3,8238,16556760.63,11124494.09
Sucursal Norte,Coca Cola,2021,4,10639,27227975.38,19091765.57
Sucursal Norte,Fanta,2021,4,1564,2072688.16,1271225.87
Sucursal Norte,Sprite,2021,4,6904,13500806.98,8927285.3
Sucursal Norte,7 Up,2021,4,1447,2083275.85,1642239.47
Sucursal Norte,Pepsi,2021,4,7584,15834990.08,10304444.69
Sucursal Centro,Coca Cola,2021,4,11431,27652778.75,18825636.27
Sucursal Centro,Fanta,2021,4,1469,2038277.98,1570468.77
Sucursal Centro,Sprite,2021,4,6899,13998282.21,9045667.68
Sucursal Centro,7 Up,2021,4,1615,2569675.6,1683731.67
Sucursal Centro,Pepsi,2021,4,7480,16773501.59,13011361.45
Sucursal Sur,Coca Cola,2021,4,10550,28438737.99,17550860.12
Sucursal Sur,Fanta,2021,4,1519,2249448.23,1601162.36
Sucursal Sur,Sprite,2021,4,6835,14320869.48,9842439.5
Sucursal Sur,7 Up,2021,4,1411,1987715.45,1277360.93
Sucursal Sur,Pepsi,2021,4,7574,15330662.28,10747862.05
Sucursal Norte,Coca Cola,2021,5,12091,34028685.53,23330644.05
Sucursal Norte,Fanta,2021,5,1703,2665304.68,1737585.28
Sucursal Norte,Sprite,2021,5,6885,15799533.49,9481644.29
Sucursal Norte,7 Up,2021,5,1546,2161099.14,1534645.23
Sucursal Norte,Pepsi,2021,5,8244,17135215.46,13623027.71
Sucursal Centro,Coca Cola,2021,5,11550,28309681.21,20265461.88
Sucursal Centro,Fanta,2021,5,1753,2416380.89,1865633.71
Sucursal Centro,Sprite,2021,5,7379,14638905.17,9761137.45
Sucursal Centro,7 Up,2021,5,1556,2299258.18,1675820.0
Sucursal Centro,Pepsi,2021,5,8315,15609014.7,11177780.75
Sucursal Sur,Coca Cola,2021,5,10318,29158350.54,21481100.96
Sucursal Sur,Fanta,2021,5,1607,2325931.91,1775063.07
Sucursal Sur,Sprite,2021,5,7508,15783153.35,12243322.06
Sucursal Sur,7 Up,2021,5,1388,2065758.85,1375486.83
Sucursal Sur,Pepsi,2021,5,8111,17454377.23,11659587.22
Sucursal Norte,Coca Cola,2021,6,9907,24034561.92,14677849.79
Sucursal Norte,Fanta,2021,6,1470,2140070.29,1349671.94
Sucursal Norte,Sprite,2021,6,7082,15901700.77,12225687.96
Sucursal Norte,7 Up,2021,6,1475,2252519.0,1527798.42
Sucursal Norte,Pepsi,2021,6,7995,15074636.4,10360356.7
Sucursal Centro,Coca Cola,2021,6,11608,29336548.99,19655194.49
Sucursal Centro,Fanta,2021,6,1731,2643453.07,1964333.71
Sucursal Centro,Sprite,2021,6,7876,16763740.74,13345855.62
Sucursal Centro,7 Up,2021,6,1563,2208275.06,1422219.3
Sucursal Centro,Pepsi,2021,6,8718,18004205.04,14338487.34
Sucursal Sur,Coca Cola,2021,6,9957,26250163.5,17366456.38
Sucursal Sur,Fanta,2021,6,1513,2262925.89,1758090.64
Sucursal Sur,Sprite,2021,6,7766,16540934.12,12637172.96
Sucursal Sur,7 Up,2021,6,1622,2331851.24,1757163.04
Sucursal Sur,Pepsi,2021,6,7763,17290840.08,10681130.36
Sucursal Norte,Coca Cola,2021,7,11436,26789748.9,19400278.76
Sucursal Norte,Fanta,2021,7,1755,2638625.8,1967576.71
Sucursal Norte,Sprite,2021,7,6657,14762165.25,8906589.59
Sucursal Norte,7 Up,2021,7,1594,2302093.63,1420480.63
Sucursal Norte,Pepsi,2021,7,8654,16768947.47,11328822.77
Sucursal Centro,Coca Cola,2021,7,11811,30296621.51,20463418.14
Sucursal Centro,Fanta,2021,7,1604,2492943.54,1556722.68
Sucursal Centro,Sprite,2021,7,7149,13949697.46,9349523.2
Sucursal Centro,7 Up,2021,7,1364,1973280.29,1195218.97
Sucursal Centro,Pepsi,2021,7,8654,17967793.17,13585183.03
Sucursal Sur,Coca Cola,2021,7,10969,31058251.62,21472790.11
Sucursal Sur,Fanta,2021,7,1642,2185554.6,1315919.83
Sucursal Sur,Sprite,2021,7,6986,13787758.94,9222013.42
Sucursal Sur,7 Up,2021,7,1546,2406790.51,1892773.65
Sucursal Sur,Pepsi,2021,7,8006,15774224.75,10229856.33
Sucursal Norte,Coca Cola,2021,8,11675,29393754.53,17650837.45
Sucursal Norte,Fanta,2021,8,1712,2664103.45,2099265.13
Sucursal Norte,Sprite,2021,8,6566,13870705.6,10339233.28
Sucursal Norte,7 Up,2021,8,1588,2223677.48,1624133.57
Sucursal Norte,Pepsi,2021,8,7606,14853413.84,10349521.98
Sucursal Centro,Coca Cola,2021,8,11072,31499056.35,21429917.16
Sucursal Centro,Fanta,2021,8,1491,1984077.91,1428394.32
Sucursal Centro,Sprite,2021,8,7513,16391773.18,11188875.43
Sucursal Centro,7 Up,2021,8,1617,2237419.95,1477529.21
Sucursal Centro,Pepsi,2021,8,7281,13698020.67,9849977.82
Sucursal Sur,Coca Cola,2021,8,11353,29648431.14,18692844.32
Sucursal Sur,Fanta,2021,8,1496,2361620.34,1696468.14
Sucursal Sur,Sprite,2021,8,6713,13891134.75,8721992.56
Sucursal Sur,7 Up,2021,8,1593,2336915.47,1593880.31
Sucursal Sur,Pepsi,2021,8,7745,16099476.09,10728519.1
Sucursal Norte,Coca Cola,2021,9,12022,30301472.46,20235104.71
Sucursal Norte,Fanta,2021,9,1519,2106808.77,1323817.19
Sucursal Norte,Sprite,2021,9,6496,13386829.72,9109654.44
Sucursal Norte,7 Up,2021,9,1352,2210120.32,1531846.32
Sucursal Norte,Pepsi,2021,9,7235,14336804.38,11301642.85
Sucursal Centro,Coca Cola,2021,9,9968,27294101.07,19231109.03
Sucursal Centro,Fanta,2021,9,1527,1994161.3,1424931.91
Sucursal Centro,Sprite,2021,9,6796,13789136.48,10324785.14
Sucursal Centro,7 Up,2021,9,1475,2031797.79,1459305.41
Sucursal Centro,Pepsi,2021,9,7206,14626077.41,9359448.96
Sucursal Sur,Coca Cola,2021,9,11512,31410349.01,20407160.33
Sucursal Sur,Fanta,2021,9,1488,2021496.76,1467103.88
Sucursal Sur,Sprite,2021,9,6552,13088219.14,8577499.29
Sucursal Sur,7 Up,2021,9,1446,2307989.53,1745193.67
Sucursal Sur,Pepsi,2021,9,8219,15134015.22,9682291.98
Sucursal Norte,Coca Cola,2021,10,10098,23649740.06,15545852.13
Sucursal Norte,Fanta,2021,10,1567,2053144.83,1516794.41
Sucursal Norte,Sprite,2021,10,6739,14005718.33,11067778.82
Sucursal Norte,7 Up,2021,10,1461,2121061.13,1410782.73
Sucursal Norte,Pepsi,2021,10,8000,17812583.89,11490568.22
Sucursal Centro,Coca Cola,2021,10,11849,30654026.79,20010916.29
Sucursal Centro,Fanta,2021,10,1544,2095292.66,1610337.68
Sucursal Centro,Sprite,2021,10,7710,17114054.25,13463031.38
Sucursal Centro,7 Up,2021,10,1511,2082967.31,1395227.25
Sucursal Centro,Pepsi,2021,10,8340,15649409.07,10782122.63
Sucursal Sur,Coca Cola,2021,10,10615,26105534.61,15735397.03
Sucursal Sur,Fanta,2021,10,1719,2302512.3,1591416.01
Sucursal Sur,Sprite,2021,10,7345,16503963.67,11972924.51
Sucursal Sur,7 Up,2021,10,1632,2498590.27,1561845.22
Sucursal Sur,Pepsi,2021,10,8297,18519784.38,13145982.72
Sucursal Norte,Coca Cola,2021,11,10931,26848974.76,16702373.1
Sucursal Norte,Fanta,2021,11,1459,2069383.7,1305119.68
Sucursal Norte,Sprite,2021,11,7433,16201520.54,10081791.96
Sucursal Norte,7 Up,2021,11,1378,2175441.8,1389933.9
Sucursal Norte,Pepsi,2021,11,7804,17495100.25,13295899.16
Sucursal Centro,Coca Cola,2021,11,11526,26987952.9,18989890.12
Sucursal Centro,Fanta,2021,11,1549,2095872.58,1657870.86
Sucursal Centro,Sprite,2021,11,7075,15541183.33,9682491.11
Sucursal Centro,7 Up,2021,11,1359,2181738.8,1393018.43
Sucursal Centro,Pepsi,2021,11,7951,17433634.94,10705770.49
Sucursal Sur,Coca Cola,2021,11,10636,27715403.69,19015393.31
Sucursal Sur,Fanta,2021,11,1449,2217548.88,1442540.99
Sucursal Sur,Sprite,2021,11,7818,16384139.79,12804333.87
Sucursal Sur,7 Up,2021,11,1420,1969035.48,1572168.72
Sucursal Sur,Pepsi,2021,11,7631,14795754.93,11360976.81
Sucursal Norte,Coca Cola,2021,12,10309,25921739.42,16610377.71
Sucursal Norte,Fanta,2021,12,1686,2563804.95,1910700.2
Sucursal Norte,Sprite,2021,12,6991,15565421.33,10393307.17
Sucursal Norte,7 Up,2021,12,1427,1949905.49,1385466.46
Sucursal Norte,Pepsi,2021,12,8476,18879170.28,14772122.1
Sucursal Centro,Coca Cola,2021,12,12012,32770722.67,23722620.02
Sucursal Centro,Fanta,2021,12,1457,1889073.3,1277337.16
Sucursal Centro,Sprite,2021,12,7023,14352490.04,11050945.72
Sucursal Centro,7 Up,2021,12,1358,2103740.61,1549755.24
Sucursal Centro,Pepsi,2021,12,8467,17372418.21,13603477.2
Sucursal Sur,Coca Cola,2021,12,10839,27239048.2,18501931.92
Sucursal Sur,Fanta,2021,12,1651,2420921.56,1880242.86
Sucursal Sur,Sprite,2021,12,7047,14519881.3,10751721.44
Sucursal Sur,7 Up,2021,12,1411,1957426.93,1190066.99
Sucursal Sur,Pepsi,2021,12,8204,15467937.27,10086057.61
Sucursal Norte,Coca Cola,2022,1,12640,39932066.78,27654137.48
Sucursal Norte,Fanta,2022,1,1401,1627515.65,1191322.87
Sucursal Norte,Sprite,2022,1,6769,14041883.21,9581654.75
Sucursal Norte,7 Up,2022,1,2045,3359731.13,2366369.89
Sucursal Norte,Pepsi,2022,1,7616,17543218.24,13049500.39
Sucursal Centro,Coca Cola,2022,1,12618,43459010.86,33843745.04
Sucursal Centro,Fanta,2022,1,1332,1640127.16,1050921.51
Sucursal Centro,Sprite,2022,1,6947,17514888.14,12861769.85
Sucursal Centro,7 Up,2022,1,2175,3481597.99,2273899.21
Sucursal Centro,Pepsi,2022,1,8588,19038134.32,11789711.35
Sucursal Sur,Coca Cola,2022,1,10983,37692961.44,23002507.0
Sucursal Sur,Fanta,2022,1,1197,1283781.12,808518.6
Sucursal Sur,Sprite,2022,1,6901,16562282.89,13024321.11
Sucursal Sur,7 Up,2022,1,2370,3602800.0,2436910.84
Sucursal Sur,Pepsi,2022,1,7798,19922816.27,13909089.12
Sucursal Norte,Coca Cola,2022,2,11564,40263806.29,32066898.76
Sucursal Norte,Fanta,2022,2,1270,1548061.52,1089092.47
Sucursal Norte,Sprite,2022,2,6891,15793052.24,11591047.39
Sucursal Norte,7 Up,2022,2,2200,3218119.69,2287223.26
Sucursal Norte,Pepsi,2022,2,8702,19961237.18,12044416.11
Sucursal Centro,Coca Cola,2022,2,12564,45115212.38,33103956.68
Sucursal Centro,Fanta,2022,2,1179,1399287.04,850995.87
Sucursal Centro,Sprite,2022,2,6376,13990930.16,9729928.96
Sucursal Centro,7 Up,2022,2,2043,3064165.88,2213931.77
Sucursal Centro,Pepsi,2022,2,7737,19635826.04,12014550.88
Sucursal Sur,Coca Cola,2022,2,12292,45298082.88,31061369.81
Sucursal Sur,Fanta,2022,2,1177,1369686.94,1068282.97
Sucursal Sur,Sprite,2022,2,6634,15934184.58,10191002.36
Sucursal Sur,7 Up,2022,2,2208,3240821.7,1947517.6
Sucursal Sur,Pepsi,2022,2,8575,21191226.72,15183924.6
Sucursal Norte,Coca Cola,2022,3,12851,43096573.93,26187105.18
Sucursal Norte,Fanta,2022,3,1291,1426610.35,1123545.45
Sucursal Norte,Sprite,2022,3,6145,13311649.31,10582754.75
Sucursal Norte,7 Up,2022,3,2126,2960942.05,1991837.13
Sucursal Norte,Pepsi,2022,3,8444,19877630.62,12179763.79
Sucursal Centro,Coca Cola,2022,3,11993,38821971.77,24349892.95
Sucursal Centro,Fanta,2022,3,1377,1471715.89,1104876.72
Sucursal Centro,Sprite,2022,3,6542,14884243.76,11658774.0
Sucursal Centro,7 Up,2022,3,2328,3634553.85,2746166.12
Sucursal Centro,Pepsi,2022,3,8744,22581684.91,16075898.11
Sucursal Sur,Coca Cola,2022,3,11532,35419240.01,24769121.49
Sucursal Sur,Fanta,2022,3,1386,1661647.16,1057730.4
Sucursal Sur,Sprite,2022,3,6383,14221565.23,11280238.97
